"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 24 19:09:35 MSK 2026","Thu Sep 24 19:09:39 MSK 2026","3768","","tests.LoginTest","","tests.LoginTest","loginRegisterFormButtonTest","Вход через кнопку в форме регистрации","Проверяет вход через кнопку в форме регистрации"
"passed","Thu Sep 24 19:09:19 MSK 2026","Thu Sep 24 19:09:20 MSK 2026","1683","","tests.ConstructorTest","","tests.ConstructorTest","switchToFillingsTabTest","Вкладка «Начинки»","Переход на вкладку «Начинки»"
"passed","Thu Sep 24 19:09:31 MSK 2026","Thu Sep 24 19:09:35 MSK 2026","3596","","tests.LoginTest","","tests.LoginTest","loginRestorePasswordFormButtonTest","Вход через кнопку в форме восстановления пароля","Провкряет вход через кнопку в форме восстановления пароля"
"passed","Thu Sep 24 19:09:41 MSK 2026","Thu Sep 24 19:09:44 MSK 2026","2766","","tests.RegistrationTest","","tests.RegistrationTest","successfulRegistrationTest","Успешная регистрация","Новый пользователь может зарегистрироваться с валидными данными"
"passed","Thu Sep 24 19:09:39 MSK 2026","Thu Sep 24 19:09:41 MSK 2026","2472","","tests.RegistrationTest","","tests.RegistrationTest","shortPasswordErrorTest","Ошибка при пароле короче 6 символов","Если пароль меньше 6 символов, появляется сообщение об ошибке"
"passed","Thu Sep 24 19:09:12 MSK 2026","Thu Sep 24 19:09:17 MSK 2026","5127","","tests.ConstructorTest","","tests.ConstructorTest","switchToBunsTabTest","Вкладка «Булки»","Переход на вкладку «Булки»"
"passed","Thu Sep 24 19:09:21 MSK 2026","Thu Sep 24 19:09:27 MSK 2026","6958","","tests.LoginTest","","tests.LoginTest","loginAccountButtonTest","Вход через кнопку «Личный кабинет»","ПРоверяет вход через кнопку «Личный кабинет»"
"passed","Thu Sep 24 19:09:27 MSK 2026","Thu Sep 24 19:09:31 MSK 2026","3962","","tests.LoginTest","","tests.LoginTest","loginMainPageButtonTest","Вход через кнопку «Войти в аккаунт» на главной","Проверяет вход на главной странице через кнопку «Войти в аккаунт»"
"passed","Thu Sep 24 19:09:17 MSK 2026","Thu Sep 24 19:09:19 MSK 2026","1838","","tests.ConstructorTest","","tests.ConstructorTest","switchToSaucesTabTest","Вкладка «Соусы»","Переход на вкладку «Соусы»"
