"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 24 19:11:48 MSK 2026","Thu Sep 24 19:11:52 MSK 2026","4188","","tests.LoginTest","","tests.LoginTest","loginRestorePasswordFormButtonTest","Вход через кнопку в форме восстановления пароля","Провкряет вход через кнопку в форме восстановления пароля"
"passed","Thu Sep 24 19:11:33 MSK 2026","Thu Sep 24 19:11:36 MSK 2026","2466","","tests.ConstructorTest","","tests.ConstructorTest","switchToFillingsTabTest","Вкладка «Начинки»","Переход на вкладку «Начинки»"
"passed","Thu Sep 24 19:11:31 MSK 2026","Thu Sep 24 19:11:33 MSK 2026","2221","","tests.ConstructorTest","","tests.ConstructorTest","switchToSaucesTabTest","Вкладка «Соусы»","Переход на вкладку «Соусы»"
"passed","Thu Sep 24 19:11:36 MSK 2026","Thu Sep 24 19:11:43 MSK 2026","7364","","tests.LoginTest","","tests.LoginTest","loginAccountButtonTest","Вход через кнопку «Личный кабинет»","ПРоверяет вход через кнопку «Личный кабинет»"
"passed","Thu Sep 24 19:11:56 MSK 2026","Thu Sep 24 19:11:59 MSK 2026","2871","","tests.RegistrationTest","","tests.RegistrationTest","shortPasswordErrorTest","Ошибка при пароле короче 6 символов","Если пароль меньше 6 символов, появляется сообщение об ошибке"
"passed","Thu Sep 24 19:11:43 MSK 2026","Thu Sep 24 19:11:48 MSK 2026","4667","","tests.LoginTest","","tests.LoginTest","loginMainPageButtonTest","Вход через кнопку «Войти в аккаунт» на главной","Проверяет вход на главной странице через кнопку «Войти в аккаунт»"
"passed","Thu Sep 24 19:11:52 MSK 2026","Thu Sep 24 19:11:56 MSK 2026","4168","","tests.LoginTest","","tests.LoginTest","loginRegisterFormButtonTest","Вход через кнопку в форме регистрации","Проверяет вход через кнопку в форме регистрации"
"passed","Thu Sep 24 19:11:23 MSK 2026","Thu Sep 24 19:11:31 MSK 2026","7437","","tests.ConstructorTest","","tests.ConstructorTest","switchToBunsTabTest","Вкладка «Булки»","Переход на вкладку «Булки»"
"passed","Thu Sep 24 19:11:59 MSK 2026","Thu Sep 24 19:12:02 MSK 2026","3419","","tests.RegistrationTest","","tests.RegistrationTest","successfulRegistrationTest","Успешная регистрация","Новый пользователь может зарегистрироваться с валидными данными"
